searchedWord,pronounciations,englishDefinition,partOfSpeech,tags,seeAlso,info
9,電波天体='でんぱてんたい',radio star,Noun,"Astronomy, etc. term",電波星 でんぱせい,
,,,,,,
10,電波工学='でんぱこうがく',radio-frequency engineering,Noun,,,
西暦,,,,,,
1,西暦='せいれき',"Common Era, CE, Christian Era, anno domini, AD",Noun,,,
,,Western (Gregorian) calendar,,,,
,,Anno Domini,,,,
,,,,,,
2,西暦２０００年問題='せいれきにせんねんもんだい',Year 2000 problem,Noun,Computer terminology,,
,,,,,,
3,西暦10000年問題='no reading provided',"Year 10,000 problem",Wikipedia definition,,,
,,,,,,
4,西暦2525年='no reading provided',In the Year 2525,Wikipedia definition,,,
軌道,,,,,,
1,軌道='きどう',"orbit, trajectory","Noun, No-adjective","Astronomy, etc. term, Physics terminology",,
,,railroad track,,,,
,,"(on the right) track, going smoothly",,,,
,,,,,,
2,軌道に乗る='きどうにのる',"to be on track, to be going to plan","Expression, Godan verb with ru ending",,軌道に乗せる,
,,to enter orbit,,,,
,,,,,,
3,軌道に乗せる='きどうにのせる',"to put on track, to make go to plan","Expression, Ichidan verb",,軌道に乗る,
,,"to put into orbit, to send into orbit",,,,
,,,,,,
4,軌道離心率='きどうりしんりつ',orbital eccentricity,Noun,,,
,,Orbital eccentricity,,,,
,,,,,,
5,軌道長半径='きどうちょうはんけい',semi-major axis (esp. in orbital matters),Noun,,,
,,Semi-major axis,,,,
,,,,,,
6,軌道力学='きどうりきがく',orbital mechanics,Noun,,,
,,,,,,
7,軌道上='きどうじょう',in orbit,Noun,,,
,,,,,,
8,軌道短半径='きどうたんはんけい',semi-minor axis (esp. in orbital matters),Noun,,,
,,,,,,
9,軌道修正='きどうしゅうせい',"course correction, trajectory change, orbital adjustment",Noun,Yojijukugo (four character compound),,
,,,,,,
10,軌道運動='きどううんどう',orbital motion,Noun,,,
無線,,,,,,
1,無線='むせん',"wireless, radio","Noun, No-adjective",,,
,,Musen,,,,
,,,,,,
2,無線通信='むせんつうしん',radio communication,Noun,,,
,,Wireless,,,,
,,,,,,
3,無線通信士='むせんつうしんし',radio communication operator,Noun,,無線通信,
,,,,,,
4,無線電話='むせんでんわ',"cordless telephone, wireless telephone","Noun, No-adjective",,,
,,Radiotelephone,,,,
,,,,,,
5,無線操縦='むせんそうじゅう',radio-controlled (plane),"Noun, No-adjective",,,
,,,,,,
6,無線工学='むせんこうがく',radio engineering,Noun,,,
,,Radio electronics,,,,
,,,,,,
7,無線周波='むせんしゅうは',radio frequency,Noun,,,
,,,,,,
8,無線周波数='むせんしゅうはすう',"radio frequency, RF",Noun,,,
,,,,,,
9,無線技師='むせんぎし',"radio (wireless) operator, radioman",Noun,,,
,,,,,,
10,無線呼出符号='むせんよびだしふごう',"radio call sign, radio call letters",Noun,,,
破壊,,,,,,
1,破壊='はかい',"destruction, disruption","Noun, Suru verb",,,
,,(application) crash,,,,
,,Subversion,,,,
,,,,,,
2,破壊的='はかいてき',"destructive, devastating",Na-adjective,,,
,,,,,,
3,破壊加算='はかいかさん',destructive addition,Noun,Computer terminology,,
,,,,,,
4,破壊主義者='はかいしゅぎしゃ',destructionist,Noun,,,
,,,,,,
